code;id;state;region;province;location;station;dataset;filename;frequency;longitude;latitude;elevation
ASN00003092;;;;;;SOUTH EAST WATERBANK;ghcnd;ASN00003092;01d;122.2725;-17.8578;41.0
ASN00003093;;;;;;FITZROY CROSSING AERO;ghcnd;ASN00003093;01d;125.5619;-18.1814;114.5
ASN00003095;;;;;;PILLARA SPRINGS;ghcnd;ASN00003095;01d;125.7806;-18.3192;160.0
ASN00003096;;;;;;WEST ROEBUCK;ghcnd;ASN00003096;01d;122.3122;-17.8964;32.0
ASN00003098;;;;;;MOUNT HOUSE AIRSTRIP;ghcnd;ASN00003098;01d;125.7108;-17.0549;270.0
ASN00003100;;;;;;LIVERINGA STATION;ghcnd;ASN00003100;01d;124.2653;-17.9503;55.0
ASN00003103;;;;;;MIDDLE LAGOON;ghcnd;ASN00003103;01d;122.5767;-16.7733;15.0
ASN00003104;;;;;;KIMBERLEY COLOURSTONE;ghcnd;ASN00003104;01d;123.1722;-17.6406;50.0
ASN00003105;;;;;;LAUREL DOWNS;ghcnd;ASN00003105;01d;125.3428;-18.1133;175.0
ASN00004000;;;;;;ABYDOS;ghcnd;ASN00004000;01d;118.9333;-21.4167;226.0
ASN00004001;;;;;;WOODBROOK;ghcnd;ASN00004001;01d;117.1167;-20.9000;-999.9
ASN00004002;;;;;;PORT HEDLAND POST OFFICE;ghcnd;ASN00004002;01d;118.5742;-20.3139;8.0
ASN00004003;;;;;;BALFOUR DOWNS;ghcnd;ASN00004003;01d;120.8625;-22.8000;500.0
ASN00004004;;;;;;BAMBOO CREEK;ghcnd;ASN00004004;01d;120.2075;-20.9264;250.0
ASN00004005;;;;;;BAMBOO SPRINGS;ghcnd;ASN00004005;01d;119.6325;-22.0517;400.0
ASN00004006;;;;;;BONNEY DOWNS;ghcnd;ASN00004006;01d;119.9350;-22.1828;480.0
ASN00004007;;;;;;BOODARIE;ghcnd;ASN00004007;01d;118.4667;-20.4000;6.0
ASN00004008;;;;;;CARLINDIE;ghcnd;ASN00004008;01d;119.2431;-20.6392;120.0
ASN00004009;;;;;;COONGAN STATION;ghcnd;ASN00004009;01d;119.6667;-20.6833;-999.9
ASN00004010;;;;;;COOYA POOYA;ghcnd;ASN00004010;01d;117.1333;-21.0333;200.0
ASN00004011;;;;;;CORUNNA DOWNS;ghcnd;ASN00004011;01d;119.8333;-21.4667;400.0
ASN00004012;;;;;;DE GREY;ghcnd;ASN00004012;01d;119.1906;-20.1764;15.0
ASN00004013;;;;;;ETTRICK;ghcnd;ASN00004013;01d;119.6667;-20.5167;-999.9
ASN00004014;;;;;;EGINBAH;ghcnd;ASN00004014;01d;119.7667;-20.8500;-999.9
ASN00004015;;;;;;HILLSIDE STATION;ghcnd;ASN00004015;01d;119.3989;-21.7219;271.0
ASN00004016;;;;;;INDEE;ghcnd;ASN00004016;01d;118.5972;-20.7867;80.0
ASN00004017;;;;;;STATION PEAK;ghcnd;ASN00004017;01d;118.1000;-21.1500;-999.9
ASN00004018;;;;;;LIMESTONE;ghcnd;ASN00004018;01d;119.8167;-21.1833;-999.9
ASN00004019;;;;;;MANDORA;ghcnd;ASN00004019;01d;120.8436;-19.7419;7.5
ASN00004020;;;;;;MARBLE BAR COMPARISON;ghcnd;ASN00004020;01d;119.7497;-21.1756;182.3
ASN00004021;;;;;;MOUNT EDGAR;ghcnd;ASN00004021;01d;120.0586;-21.3122;270.0
ASN00004022;;;;;;MUCCAN;ghcnd;ASN00004022;01d;120.0544;-20.6333;85.0
ASN00004023;;;;;;MULYIE;ghcnd;ASN00004023;01d;119.5189;-20.4619;30.0
ASN00004024;;;;;;MUNDABULLANGANA;ghcnd;ASN00004024;01d;118.0603;-20.5192;20.0
ASN00004025;;;;;;NIMINGARRA;ghcnd;ASN00004025;01d;119.8000;-20.5000;-999.9
ASN00004026;;;;;;NOREENA DOWNS;ghcnd;ASN00004026;01d;120.1761;-22.2914;495.0
ASN00004027;;;;;;NULLAGINE;ghcnd;ASN00004027;01d;120.1103;-21.8861;380.0
ASN00004028;;;;;;PARDOO STATION;ghcnd;ASN00004028;01d;119.5811;-20.1078;9.0
ASN00004030;;;;;;PILGA;ghcnd;ASN00004030;01d;119.4000;-21.4000;-999.9
ASN00004031;;;;;;POINT SAMSON;ghcnd;ASN00004031;01d;117.1925;-20.6267;30.0
ASN00004032;;;;;;PORT HEDLAND AIRPORT;ghcnd;ASN00004032;01d;118.6317;-20.3725;6.4
ASN00004033;;;;;;PYRAMID STATION;ghcnd;ASN00004033;01d;117.4436;-21.0561;40.0
ASN00004034;;;;;;RPF 734 MILE;ghcnd;ASN00004034;01d;121.4000;-22.0167;-999.9
ASN00004035;;;;;;ROEBOURNE;ghcnd;ASN00004035;01d;117.1456;-20.7767;12.0
ASN00004036;;;;;;STRELLEY;ghcnd;ASN00004036;01d;119.0556;-20.4681;67.0
ASN00004037;;;;;;TALGA TALGA;ghcnd;ASN00004037;01d;120.0000;-21.0500;200.0
ASN00004038;;;;;;WALLAREENYA;ghcnd;ASN00004038;01d;118.8172;-20.7483;97.0
ASN00004039;;;;;;WARAMBIE;ghcnd;ASN00004039;01d;117.3733;-20.9469;30.0
ASN00004040;;;;;;WARRALONG;ghcnd;ASN00004040;01d;119.5869;-20.6472;84.0
ASN00004041;;;;;;WARRAWAGINE;ghcnd;ASN00004041;01d;120.6950;-20.8503;159.0
ASN00004042;;;;;;WHIM CREEK;ghcnd;ASN00004042;01d;117.8358;-20.8394;32.0
ASN00004043;;;;;;REDMONT;ghcnd;ASN00004043;01d;119.0131;-21.9931;387.0
ASN00004044;;;;;;WIDJUP OUTCAMP;ghcnd;ASN00004044;01d;121.3000;-19.5000;-999.9
ASN00004045;;;;;;ABYDOS WOODSTOCK;ghcnd;ASN00004045;01d;118.9550;-21.6200;250.0
ASN00004046;;;;;;YARRIE;ghcnd;ASN00004046;01d;120.2044;-20.6739;100.0
ASN00004047;;;;;;TABBA TABBA;ghcnd;ASN00004047;01d;118.9000;-20.8333;120.0
ASN00004048;;;;;;YANDEEARRA;ghcnd;ASN00004048;01d;118.4042;-21.2853;120.0
ASN00004049;;;;;;SPLIT ROCK;ghcnd;ASN00004049;01d;119.6000;-21.6000;-999.9
ASN00004050;;;;;;YALGOORA;ghcnd;ASN00004050;01d;119.7000;-21.6000;-999.9
ASN00004051;;;;;;BALLA BALLA;ghcnd;ASN00004051;01d;117.8000;-20.6000;-999.9
ASN00004052;;;;;;RPF 80 MILE;ghcnd;ASN00004052;01d;120.6500;-20.5667;-999.9
